# T_K Q_known Q_missing Q_estimated missing_fraction
5.09187390e+01 1.53782343e+03 1.56579303e-45 1.53782343e+03 1.01818778e-48
5.20026173e+01 1.59259448e+03 1.75132791e-44 1.59259448e+03 1.09966972e-47
5.31095674e+01 1.64927545e+03 1.86353717e-43 1.64927545e+03 1.12991264e-46
5.42400806e+01 1.70793703e+03 1.88841612e-42 1.70793703e+03 1.10567081e-45
5.53946584e+01 1.76865308e+03 1.82426763e-41 1.76865308e+03 1.03144458e-44
5.65738130e+01 1.83150083e+03 1.68168081e-40 1.83150083e+03 9.18198227e-44
5.77780676e+01 1.89656101e+03 1.48076682e-39 1.89656101e+03 7.80764140e-43
5.90079565e+01 1.96391809e+03 1.24661677e-38 1.96391809e+03 6.34760062e-42
6.02640253e+01 2.03366046e+03 1.00435878e-37 2.03366046e+03 4.93867485e-41
6.15468314e+01 2.10588064e+03 7.75090460e-37 2.10588064e+03 3.68060015e-40
6.28569438e+01 2.18067549e+03 5.73473272e-36 2.18067549e+03 2.62979648e-39
6.41949438e+01 2.25814646e+03 4.07148471e-35 2.25814646e+03 1.80302066e-38
6.55614251e+01 2.33839982e+03 2.77616247e-34 2.33839982e+03 1.18720608e-37
6.69569939e+01 2.42154690e+03 1.81951323e-33 2.42154690e+03 7.51384675e-37
6.83822694e+01 2.50770438e+03 1.14720762e-32 2.50770438e+03 4.57473229e-36
6.98378839e+01 2.59699454e+03 6.96395618e-32 2.59699454e+03 2.68154440e-35
7.13244832e+01 2.68954558e+03 4.07324625e-31 2.68954558e+03 1.51447377e-34
7.28427270e+01 2.78549188e+03 2.29737665e-30 2.78549188e+03 8.24765159e-34
7.43932887e+01 2.88497433e+03 1.25043149e-29 2.88497433e+03 4.33428984e-33
7.59768564e+01 2.98814067e+03 6.57273570e-29 2.98814067e+03 2.19960719e-32
7.75941325e+01 3.09514585e+03 3.33892518e-28 3.09514585e+03 1.07876182e-31
7.92458347e+01 3.20615231e+03 1.64040303e-27 3.20615231e+03 5.11642267e-31
8.09326958e+01 3.32133043e+03 7.79974612e-27 3.32133043e+03 2.34838005e-30
8.26554641e+01 3.44085891e+03 3.59163963e-26 3.44085891e+03 1.04382066e-29
8.44149040e+01 3.56492512e+03 1.60279365e-25 3.56492512e+03 4.49600931e-29
8.62117960e+01 3.69372558e+03 6.93616130e-25 3.69372558e+03 1.87782258e-28
8.80469375e+01 3.82746637e+03 2.91269951e-24 3.82746637e+03 7.60999374e-28
8.99211427e+01 3.96636360e+03 1.18762556e-23 3.96636360e+03 2.99424278e-27
9.18352429e+01 4.11064387e+03 4.70476010e-23 4.11064387e+03 1.14453119e-26
9.37900876e+01 4.26054480e+03 1.81188538e-22 4.26054480e+03 4.25270819e-26
9.57865438e+01 4.41631552e+03 6.78758050e-22 4.41631552e+03 1.53693287e-25
9.78254976e+01 4.57821722e+03 2.47480349e-21 4.57821722e+03 5.40560522e-25
