# ['MStar', 'MRate', 'incl']
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
19.97198926 0.00189226 57.71851679
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.23920542 0.00196138 61.26551217
20.15626934 0.00191543 63.88472788
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.15038530 0.00190067 63.15770143
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.17171070 0.00195308 65.27344529
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
20.16856798 0.00194628 65.40433401
