# ['MStar', 'MRate', 'Rdisc', 'cavity_ang', 'incl']
24.40586026 0.00077210 486.46083999 62.76497568 25.83841666
23.27307029 0.00073132 485.73156639 62.65167498 26.55224610
23.27307029 0.00073132 485.73156639 62.65167498 26.55224610
23.27307029 0.00073132 485.73156639 62.65167498 26.55224610
23.27307029 0.00073132 485.73156639 62.65167498 26.55224610
23.44003431 0.00073603 485.66919828 62.61791167 26.45833011
23.44003431 0.00073603 485.66919828 62.61791167 26.45833011
23.44003431 0.00073603 485.66919828 62.61791167 26.45833011
23.44003431 0.00073603 485.66919828 62.61791167 26.45833011
23.44003431 0.00073603 485.66919828 62.61791167 26.45833011
23.44003431 0.00073603 485.66919828 62.61791167 26.45833011
23.36943575 0.00072939 488.04202680 62.64479644 26.55421815
23.34543971 0.00072906 487.86134053 62.62640770 26.56738342
23.34543971 0.00072906 487.86134053 62.62640770 26.56738342
23.34543971 0.00072906 487.86134053 62.62640770 26.56738342
23.34543971 0.00072906 487.86134053 62.62640770 26.56738342
23.34543971 0.00072906 487.86134053 62.62640770 26.56738342
23.34543971 0.00072906 487.86134053 62.62640770 26.56738342
23.34543971 0.00072906 487.86134053 62.62640770 26.56738342
23.33400089 0.00072901 487.48925975 62.62666590 26.56742920
23.33400089 0.00072901 487.48925975 62.62666590 26.56742920
23.33400089 0.00072901 487.48925975 62.62666590 26.56742920
23.33400089 0.00072901 487.48925975 62.62666590 26.56742920
23.33400089 0.00072901 487.48925975 62.62666590 26.56742920
23.33400089 0.00072901 487.48925975 62.62666590 26.56742920
23.33400089 0.00072901 487.48925975 62.62666590 26.56742920
23.33400089 0.00072901 487.48925975 62.62666590 26.56742920
23.38146058 0.00073337 488.73853337 62.32774873 26.72529795
23.38146058 0.00073337 488.73853337 62.32774873 26.72529795
23.38146058 0.00073337 488.73853337 62.32774873 26.72529795
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
23.40204835 0.00073178 489.52772745 62.44816291 26.66106841
