# ['MStar', 'MRate', 'Rdisc', 'Arho0', 'cavity_ang', 'incl']
18.85416612 0.00116245 552.69595265 1.99142407 25.49619001 27.87148850
18.85416612 0.00116245 552.69595265 1.99142407 25.49619001 27.87148850
18.85416612 0.00116245 552.69595265 1.99142407 25.49619001 27.87148850
18.85416612 0.00116245 552.69595265 1.99142407 25.49619001 27.87148850
18.88712585 0.00116145 552.51667719 2.00273457 25.97165092 27.89941373
18.88712585 0.00116145 552.51667719 2.00273457 25.97165092 27.89941373
18.88712585 0.00116145 552.51667719 2.00273457 25.97165092 27.89941373
18.88712585 0.00116145 552.51667719 2.00273457 25.97165092 27.89941373
18.88712585 0.00116145 552.51667719 2.00273457 25.97165092 27.89941373
18.88712585 0.00116145 552.51667719 2.00273457 25.97165092 27.89941373
18.88356105 0.00116105 552.51561871 2.00431650 26.00083479 27.88980413
18.88356105 0.00116105 552.51561871 2.00431650 26.00083479 27.88980413
18.88356105 0.00116105 552.51561871 2.00431650 26.00083479 27.88980413
18.88356105 0.00116105 552.51561871 2.00431650 26.00083479 27.88980413
18.88356105 0.00116105 552.51561871 2.00431650 26.00083479 27.88980413
18.88356105 0.00116105 552.51561871 2.00431650 26.00083479 27.88980413
18.89844080 0.00116090 552.46209388 2.00646741 25.91474652 27.87827173
18.89844080 0.00116090 552.46209388 2.00646741 25.91474652 27.87827173
18.89844080 0.00116090 552.46209388 2.00646741 25.91474652 27.87827173
18.89844080 0.00116090 552.46209388 2.00646741 25.91474652 27.87827173
18.89844080 0.00116090 552.46209388 2.00646741 25.91474652 27.87827173
18.89844080 0.00116090 552.46209388 2.00646741 25.91474652 27.87827173
18.89844080 0.00116090 552.46209388 2.00646741 25.91474652 27.87827173
18.89844080 0.00116090 552.46209388 2.00646741 25.91474652 27.87827173
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.85082151 0.00115855 552.68038008 2.00598281 26.53649735 27.93076258
18.83432417 0.00115188 552.68035268 2.01977680 26.73365946 27.93118442
18.83432417 0.00115188 552.68035268 2.01977680 26.73365946 27.93118442
18.83432417 0.00115188 552.68035268 2.01977680 26.73365946 27.93118442
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83548700 0.00115186 552.68193422 2.01947736 26.74778366 27.93583381
18.83716749 0.00115091 552.77384081 2.02198374 26.90694957 27.94463235
18.83716749 0.00115091 552.77384081 2.02198374 26.90694957 27.94463235
18.83716749 0.00115091 552.77384081 2.02198374 26.90694957 27.94463235
18.83716749 0.00115091 552.77384081 2.02198374 26.90694957 27.94463235
18.83716749 0.00115091 552.77384081 2.02198374 26.90694957 27.94463235
18.83716749 0.00115091 552.77384081 2.02198374 26.90694957 27.94463235
18.83716749 0.00115091 552.77384081 2.02198374 26.90694957 27.94463235
17.58406382 0.00117443 568.31784345 1.81820519 32.61104359 29.00590424
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
17.59906486 0.00118105 577.88709537 1.76880242 31.57082078 29.16054396
