# ['MStar', 'MRate', 'Rdisc']
20.15784704 0.00203733 140.83356443
20.15784704 0.00203733 140.83356443
20.15784704 0.00203733 140.83356443
20.15784704 0.00203733 140.83356443
20.44243099 0.00202346 154.09729861
20.44243099 0.00202346 154.09729861
20.44243099 0.00202346 154.09729861
20.81124718 0.00204061 152.71767287
20.81124718 0.00204061 152.71767287
20.81124718 0.00204061 152.71767287
20.93620616 0.00200091 155.77725232
20.93620616 0.00200091 155.77725232
20.93620616 0.00200091 155.77725232
20.93620616 0.00200091 155.77725232
20.57473614 0.00193756 166.86973356
20.55196993 0.00193595 167.54295632
22.49777671 0.00193964 156.13228141
22.49777671 0.00193964 156.13228141
20.39415283 0.00193339 206.46674651
20.39415283 0.00193339 206.46674651
20.39415283 0.00193339 206.46674651
20.39415283 0.00193339 206.46674651
20.43954353 0.00191323 206.45940250
19.44426169 0.00182186 239.96928665
19.44426169 0.00182186 239.96928665
19.37620137 0.00180980 241.71325183
19.41636122 0.00180812 242.31357512
19.41636122 0.00180812 242.31357512
19.41636122 0.00180812 242.31357512
19.41636122 0.00180812 242.31357512
18.93284497 0.00166362 268.40791483
19.07029030 0.00166803 279.88947656
19.07029030 0.00166803 279.88947656
19.07029030 0.00166803 279.88947656
19.07029030 0.00166803 279.88947656
19.07029030 0.00166803 279.88947656
22.77681936 0.00116566 287.95566667
22.77681936 0.00116566 287.95566667
22.77681936 0.00116566 287.95566667
22.77681936 0.00116566 287.95566667
22.77681936 0.00116566 287.95566667
22.77681936 0.00116566 287.95566667
22.77681936 0.00116566 287.95566667
22.70841547 0.00115470 299.09622318
26.38765451 0.00114145 271.34874138
25.41066814 0.00105407 283.30024376
25.41066814 0.00105407 283.30024376
25.41066814 0.00105407 283.30024376
24.87495351 0.00101189 299.28220053
24.87495351 0.00101189 299.28220053
24.87495351 0.00101189 299.28220053
25.57979734 0.00100724 303.79438403
25.57979734 0.00100724 303.79438403
25.57979734 0.00100724 303.79438403
25.57979734 0.00100724 303.79438403
25.76688348 0.00101843 310.63797409
25.76688348 0.00101843 310.63797409
25.76688348 0.00101843 310.63797409
28.03853865 0.00101102 380.43787993
28.18135201 0.00109415 396.32888916
28.18135201 0.00109415 396.32888916
28.18135201 0.00109415 396.32888916
28.18135201 0.00109415 396.32888916
27.98323299 0.00102639 453.35960378
27.98323299 0.00102639 453.35960378
27.98323299 0.00102639 453.35960378
30.40874882 0.00111562 466.53330423
30.40874882 0.00111562 466.53330423
30.23268999 0.00104695 468.82059571
30.05646708 0.00097822 471.11001893
31.06423122 0.00095416 505.60130476
31.06423122 0.00095416 505.60130476
31.86647860 0.00093403 518.75619641
31.86647860 0.00093403 518.75619641
31.86647860 0.00093403 518.75619641
32.23468137 0.00090662 537.85328658
32.23468137 0.00090662 537.85328658
32.23468137 0.00090662 537.85328658
32.23468137 0.00090662 537.85328658
32.28318415 0.00091817 543.87988148
32.28318415 0.00091817 543.87988148
32.28318415 0.00091817 543.87988148
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
33.03648726 0.00089972 561.28866856
